,Position,Company,Location,Job URL,Job Description,Skills
50,Data Scientist Intern,SoulPage IT Solutions,Hyderābād,"https://www.glassdoor.co.in/job-listing/data-scientist-intern-soulpage-it-solutions-JV_IC2865319_KO0,21_KE22,43.htm?jl=1009297290638","As a Data Scientist Intern, you will work closely with our data science team to analyze large datasets, develop predictive models, and extract actionable…&hellip;","Machine learning, Data science, Communication skills, Python"
51,Data Scientist,WebTechSquads,Remote,"https://www.glassdoor.co.in/job-listing/data-scientist-webtechsquads-JV_KO0,14_KE15,28.htm?jl=1009668838776",❖ Experience of working with large datasets and data wrangling techniques. ❖ At least 3 years of hands-on experience as a Data Scientist in Predictive Modelling…&hellip;,"TensorFlow, Statistics, Power BI, Spark, R"
52,Data Scientist - Generative AI,Smart Capital Center,Remote,"https://www.glassdoor.co.in/job-listing/data-scientist-generative-ai-smart-capital-center-JV_KO0,28_KE29,49.htm?jl=1009690423161","In this role, you will work with advanced AI models to design, implement, and enhance generative AI solutions. Knowledge of LLM architectures (GPT, BERT, etc.).&hellip;","TensorFlow, Azure, Google Cloud Platform, Research, AWS"
53,Data Scientist,Nirmalya Labs,Bhubaneshwar,"https://www.glassdoor.co.in/job-listing/data-scientist-nirmalya-labs-JV_IC4469444_KO0,14_KE15,28.htm?jl=1009700292804","Bachelor's or higher degree in computer science or a related technical/scientific discipline. Strong analytical skills required, including a thorough…&hellip;","Statistics, Computer science, SAFe, Oracle, Kanban"
54,Data Scientist I,Netomi,Remote,"https://www.glassdoor.co.in/job-listing/data-scientist-i-netomi-JV_KO0,16_KE17,23.htm?jl=1009405233144",Benchmarking and Evaluation: Conduct benchmarking studies to compare prompt performance and establish best practices.&hellip;,"TensorFlow, Big data, Spark, Sentiment analytics, Machine learning"
55,Jr Data Scientist,Veracity Software,India,"https://www.glassdoor.co.in/job-listing/jr-data-scientist-veracity-software-JV_KO0,17_KE18,35.htm?jl=1009433958939","In this role, you will support all phases of analytic work product development, from the identification of key business questions, through data collection, from…&hellip;","SAS, R, Machine learning, Python"
56,"Data Scientist, Investments, Analyst",BlackRock Investments,Mumbai,"https://www.glassdoor.co.in/job-listing/data-scientist-investments-analyst-blackrock-investments-JV_IC2851180_KO0,34_KE35,56.htm?jl=1009684972448","Data Scientist, Investments, Analyst Location: Mumbai, Maharashtra Team: Data Science Job Requisition #: R251555 Date posted: Mar. 25,…&hellip;",Data science
57,Data Scientist,Hire IT People,Pune,"https://www.glassdoor.co.in/job-listing/data-scientist-hire-it-people-JV_IC2856202_KO0,14_KE15,29.htm?jl=1008984988588","Some knowledge of big data technologies like Hadoop, Apache Spark will be an added advantage. Looking for a Data Scientist who is excited by the prospects of…&hellip;","Computer science, Big data, Spark, R, Statistical analysis"
58,Data Science Trainer,ONLEI Technologies,Remote,"https://www.glassdoor.co.in/job-listing/data-science-trainer-onlei-technologies-JV_KO0,20_KE21,39.htm?jl=1008809839348","As a Data Science & Analytics trainer, you will be responsible for training college students , freshers and Professionals . We are looking to hire a Data…&hellip;",Data science
59,Data Scientist,Comscore,India,"https://www.glassdoor.co.in/job-listing/data-scientist-comscore-JV_KO0,14_KE15,23.htm?jl=1009685733044","The regular hours for this shift will be 2 pm -11 pm IST. In this role, the Data Scientist will work closely with other members of the Television Analytics team…&hellip;","Spark, R, Research, SQL, Linux"
